#,Sección,Subsección,Test Case,Estado,Fecha Completada,Notas,Bug ID
103,10. Member & Invitation,10.2 Member Management,Type 'Remove user@example.com from organization' - Member removed,Pendiente,,,
104,10. Member & Invitation,10.2 Member Management,Navigate to /organizations/[id]/members - Members list visible,Pendiente,,,
105,10. Member & Invitation,10.3 Accept Invitation,Open invitation link from email - Acceptance page loads,Pendiente,,,
106,10. Member & Invitation,10.3 Accept Invitation,Click accept - User added to organization,Pendiente,,,
107,11. Notification,11.1 View Notifications,Type 'Show my notifications' - Lists notifications,Pendiente,,,
108,11. Notification,11.1 View Notifications,Click notification - Opens related item,Pendiente,,,
109,12. Chat Interface,12.1 Chat Page Load,Navigate to /chat while logged out - Redirects to /auth/signin,Completado,09/02/26,,
110,12. Chat Interface,12.1 Chat Page Load,"Sign in, navigate to /chat - Chat interface loads",Completado,09/02/26,,
111,12. Chat Interface,12.1 Chat Page Load,Check for welcome message - 'How can I help you today?',Completado,09/02/26,,
112,12. Chat Interface,12.1 Chat Page Load,Verify input field - Textarea visible and focused,Completado,09/02/26,,
113,12. Chat Interface,12.1 Chat Page Load,Check quick prompts - 3-4 quick action buttons visible,Completado,09/02/26,,
114,12. Chat Interface,12.2 Basic Chat Functionality,Type 'Hello' and send - Message appears in chat,Completado,09/02/26,,
115,12. Chat Interface,12.2 Basic Chat Functionality,Wait for AI response - Streaming response appears,Completado,09/02/26,,
116,12. Chat Interface,12.2 Basic Chat Functionality,Verify message avatars - User and assistant avatars visible,Completado,09/02/26,,
117,12. Chat Interface,12.2 Basic Chat Functionality,Check timestamps - Messages show time,Completado,09/02/26,,
118,12. Chat Interface,12.2 Basic Chat Functionality,Scroll up in chat - Older messages load,Completado,09/02/26,,
119,12. Chat Interface,12.3 Slash Commands,/help - Shows available commands,Completado,09/02/26,,
120,12. Chat Interface,12.3 Slash Commands,/new - Initiates new conversation,Completado,09/02/26,,
121,12. Chat Interface,12.3 Slash Commands,/clear - Clears chat history,Completado,09/02/26,,
122,12. Chat Interface,12.3 Slash Commands,/tasks - Lists recent tasks,Completado,09/02/26,,
123,12. Chat Interface,12.3 Slash Commands,/projects - Lists projects,Completado,09/02/26,,
124,12. Chat Interface,12.3 Slash Commands,/organizations - Lists organizations,Completado,09/02/26,,
125,12. Chat Interface,12.3 Slash Commands,/create-task - Prompts for task creation,Pendiente,,,
126,12. Chat Interface,12.3 Slash Commands,/create-project - Prompts for project creation,Pendiente,,,
127,12. Chat Interface,12.3 Slash Commands,/search - Opens search mode,Pendiente,,,
128,12. Chat Interface,12.3 Slash Commands,/invite - Prompts for invitation,Pendiente,,,
129,12. Chat Interface,12.4 Quick Prompts,Click 'Show my tasks' - Lists assigned tasks,Pendiente,,,
130,12. Chat Interface,12.4 Quick Prompts,Click 'Create new project' - Prompts for project details,Pendiente,,,
131,12. Chat Interface,12.4 Quick Prompts,Click 'List projects' - Shows project list,Pendiente,,,
132,12. Chat Interface,12.4 Quick Prompts,Click 'Search' - Focuses search input,Pendiente,,,
133,12. Chat Interface,12.5 Chat Behaviors,Type long message with Shift+Enter - New line created,Pendiente,,,
134,12. Chat Interface,12.5 Chat Behaviors,Type message and Enter without Shift - Message sends,Pendiente,,,
135,12. Chat Interface,12.5 Chat Behaviors,Send message during loading - Input disables,Pendiente,,,
136,12. Chat Interface,12.5 Chat Behaviors,Wait for response completion - Input re-enables,Pendiente,,,
137,12. Chat Interface,12.5 Chat Behaviors,Click 'Clear chat' - All messages removed,Pendiente,,,
138,12. Chat Interface,12.5 Chat Behaviors,Click export button - Options to export/download,Pendiente,,,
139,12. Chat Interface,12.5 Chat Behaviors,Copy message to clipboard - Toast notification shown,Pendiente,,,
140,12. Chat Interface,12.6 Mobile Responsiveness,Resize browser to mobile width - Chat adapts layout,Pendiente,,,
141,12. Chat Interface,12.6 Mobile Responsiveness,Verify input visibility - Input remains accessible,Pendiente,,,
142,12. Chat Interface,12.6 Mobile Responsiveness,Check quick prompts - Wrap to single column if needed,Pendiente,,,
176,API Key Management,Create,Create new API key with valid name and expiration,Pendiente,,,
177,API Key Management,Create,Create API key without expiration (no expiry),Pendiente,,,
178,API Key Management,List,View all created API keys,Pendiente,,,
179,API Key Management,Revoke,Revoke an active API key,Pendiente,,,
180,API Key Management,Revoke,Attempt to use revoked API key,Pendiente,,,
181,API Key Management,Validation,API key authentication for MCP server,Pendiente,,,
182,Authentication,OAuth,Sign in with Google,Pendiente,,,
183,Authentication,OAuth,Sign in with Azure AD,Pendiente,,,
184,Authentication,OAuth,OAuth login with invalid credentials,Pendiente,,,
185,Authentication,OAuth,Link OAuth account to existing user,Pendiente,,,
186,Authentication,Logout,Logout clears session completely,Pendiente,,,
187,Authentication,Logout,Logout redirects to sign-in page,Pendiente,,,
188,Authentication,Session,Session expiration handling,Pendiente,,,
189,Authentication,Session,"Remember me" functionality,Pendiente,,,
190,File Upload,Upload,Upload valid image file (JPEG, PNG),Pendiente,,,
191,File Upload,Upload,Upload CSV file,Pendiente,,,
192,File Upload,Upload,Upload file exceeding size limit,Pendiente,,,
193,File Upload,Upload,Upload invalid file type,Pendiente,,,
194,File Upload,Display,View uploaded file in UI,Pendiente,,,
195,File Upload,Storage,Verify file stored in correct location,Pendiente,,,
196,Task,Comments,Add comment to task,Pendiente,,,
197,Task,Comments,Reply to existing comment (threaded),Pendiente,,,
198,Task,Comments,Edit own comment,Pendiente,,,
199,Task,Comments,Delete own comment,Pendiente,,,
200,Task,Comments,View comment history,Pendiente,,,
201,Project,Members,Add member to project,Pendiente,,,
202,Project,Members,Remove member from project,Pendiente,,,
203,Project,Members,Assign role to project member,Pendiente,,,
204,Project,Members,View all project members,Pendiente,,,
205,Organization,Settings,Update organization name,Pendiente,,,
206,Organization,Settings,Update organization description,Pendiente,,,
207,Organization,Settings,Delete organization with confirmation,Pendiente,,,
208,Organization,Settings,Transfer organization ownership,Pendiente,,,
209,Process,Templates,View available process templates,Pendiente,,,
210,Process,Templates,Create process from template,Pendiente,,,
211,Process,Templates,Customize template steps during creation,Pendiente,,,
212,Health Check,API,Health endpoint returns 200 OK,Pendiente,,,
213,Health Check,API,Health check during high load,Pendiente,,,
214,Accessibility,Navigation,Keyboard navigation through all pages,Pendiente,,,
215,Accessibility,Screen Reader,Screen reader compatibility for main flows,Pendiente,,,
216,Accessibility,Contrast,Color contrast meets WCAG 2.1 AA,Pendiente,,,
217,Accessibility,Forms,Form labels and ARIA attributes present,Pendiente,,,
218,Accessibility,Focus,Focus indicators visible on all interactive elements,Pendiente,,,
219,Cross-Browser,Chrome,Full test suite on Chrome,Pendiente,,,
220,Cross-Browser,Firefox,Full test suite on Firefox,Pendiente,,,
221,Cross-Browser,Safari,Full test suite on Safari,Pendiente,,,
222,Cross-Browser,Edge,Full test suite on Edge,Pendiente,,,
223,API Testing,Organizations,Direct API: CRUD organizations,Pendiente,,,
224,API Testing,Projects,Direct API: CRUD projects,Pendiente,,,
225,API Testing,Tasks,Direct API: CRUD tasks,Pendiente,,,
226,API Testing,Departments,Direct API: CRUD departments,Pendiente,,,
227,API Testing,Processes,Direct API: CRUD processes,Pendiente,,,
228,API Testing,Invitations,Direct API: Send, validate, accept,Pendiente,,,
229,API Testing,Resources,Direct API: CRUD resources,Pendiente,,,
230,API Testing,Notifications,Direct API: CRUD notifications,Pendiente,,,
231,API Testing,Error Responses,API returns correct error codes,Pendiente,,,
232,API Testing,Pagination,API pagination works correctly,Pendiente,,,
233,Data Validation,Boundaries,Max length fields validation,Pendiente,,,
234,Data Validation,Boundaries,Min length fields validation,Pendiente,,,
235,Data Validation,Types,Invalid data type rejection,Pendiente,,,
236,Data Validation,Required,Required field enforcement,Pendiente,,,
237,Data Validation,Email,Email format validation,Pendiente,,,
238,Data Validation,Dates,Date range validation (start < end),Pendiente,,,
239,Concurrency,Tasks,Two users edit same task simultaneously,Pendiente,,,
240,Concurrency,Projects,Two users edit same project simultaneously,Pendiente,,,
241,Concurrency,Organizations,Concurrent member additions,Pendiente,,,
242,Resources,Page Load,Navigate to /resources - Resources page loads,Pendiente,,,
243,Resources,List,View all resources with preview/name/type/size/date,Pendiente,,,
244,Resources,Search,Search resources by name,Pendiente,,,
245,Resources,Filter,Filter resources by type/category/tags,Pendiente,,,
246,Resources,Upload,Upload new file/document with metadata,Pendiente,,,
247,Resources,Download,Download individual resources,Pendiente,,,
248,Resources,Edit,Update resource metadata (name/description/tags/category),Pendiente,,,
249,Resources,Delete,Delete resource with confirmation,Pendiente,,,
250,Resources,Preview,Preview supported file types (images/PDFs),Pendiente,,,
251,Resources,Categories,Organize resources into categories (Documents/Images/Videos/Templates),Pendiente,,,
252,Fix Verification,Infinite Loop,/projects page loads without infinite loop errors,Completado,16/02/26,,
253,Fix Verification,Infinite Loop,/teams page loads without 'Cannot read properties of undefined' errors,Completado,16/02/26,,
254,Fix Verification,Infinite Loop,/departments page loads without infinite loop errors,Completado,16/02/26,,
255,Fix Verification,Infinite Loop,/processes page loads without infinite loop errors,Completado,16/02/26,,
256,Fix Verification,API Response,API /teams route returns valid objects for user and organization,Pendiente,,,
257,Fix Verification,Build,npx tsc --noEmit passes without errors,Pendiente,,,
258,Fix Verification,Build,pnpm build succeeds without warnings,Pendiente,,,
259,Responsive,Mobile Layout,All pages render correctly on mobile devices (320px-767px),Pendiente,,,
260,Responsive,Mobile Sidebar,Sidebar converts to mobile drawer with hamburger menu,Pendiente,,,
261,Responsive,Mobile Navbar,Navbar is responsive with stacked/collapsed elements on mobile,Pendiente,,,
262,Responsive,Mobile Tables,Tables convert to card layouts on mobile,Pendiente,,,
263,Responsive,Mobile Forms,All forms are usable on mobile devices,Pendiente,,,
264,Responsive,Touch Targets,Touch targets are minimum 44x44px on mobile,Pendiente,,,
265,Responsive,Scrolling,No horizontal scrolling on any device size,Pendiente,,,
266,Responsive,Images,Images and charts scale appropriately,Pendiente,,,
267,Responsive,Text,Text remains readable on all screen sizes,Pendiente,,,
268,Responsive,Mobile Buttons,Action buttons remain accessible on mobile,Pendiente,,,
269,Responsive,Mobile Chat,Chat sidebar is full-screen on mobile,Pendiente,,,
270,Responsive,Mobile Dialogs,Dialogs are full-screen or properly sized on mobile,Pendiente,,,
271,Responsive,Touch Navigation,Navigation works smoothly on touch devices,Pendiente,,,
272,Responsive,Touch Friendly,All interactive elements are touch-friendly,Pendiente,,,
273,Responsive,Device Testing,Tested on real devices or browser dev tools (iPhone/iPad/Desktop),Pendiente,,,
